year,status_category,mw,project_count,notes
2022,Observed Energized,2634,4,Source: ERCOT March 2026 TAC Report (Large Load Integration Team)
2022,Approved to Energize but Not Operational,0,0,Source: ERCOT March 2026 TAC Report
2022,Planning Studies Approved,0,0,Source: ERCOT March 2026 TAC Report
2022,Under ERCOT Review,0,0,Source: ERCOT March 2026 TAC Report
2022,No Studies Submitted,0,0,Source: ERCOT March 2026 TAC Report
2023,Observed Energized,4286,10,Source: ERCOT March 2026 TAC Report
2023,Approved to Energize but Not Operational,0,0,Source: ERCOT March 2026 TAC Report
2023,Planning Studies Approved,0,0,Source: ERCOT March 2026 TAC Report
2023,Under ERCOT Review,0,0,Source: ERCOT March 2026 TAC Report
2023,No Studies Submitted,0,0,Source: ERCOT March 2026 TAC Report
2024,Observed Energized,4845,10,Source: ERCOT March 2026 TAC Report
2024,Approved to Energize but Not Operational,0,0,Source: ERCOT March 2026 TAC Report
2024,Planning Studies Approved,0,0,Source: ERCOT March 2026 TAC Report
2024,Under ERCOT Review,0,0,Source: ERCOT March 2026 TAC Report
2024,No Studies Submitted,0,0,Source: ERCOT March 2026 TAC Report
2025,Observed Energized,5778,10,Direct from ERCOT April 2026 House/Senate hearing deck slide 3 table
2025,Approved to Energize but Not Operational,935,1,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2025,Planning Studies Approved,30,1,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count reconstructed from slide 6 in-service chart label
2025,Under ERCOT Review,0,0,Direct from ERCOT April 2026 House/Senate hearing deck slide 3 table
2025,No Studies Submitted,0,0,Updated from screenshot April 2026
2026,Observed Energized,5778,10,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count carried from 2025 observed energized
2026,Approved to Energize but Not Operational,2748,4,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2026,Planning Studies Approved,3181,4,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2026,Under ERCOT Review,6478,8,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2026,No Studies Submitted,25253,33,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2027,Observed Energized,5778,10,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count carried from 2025 observed energized
2027,Approved to Energize but Not Operational,2941,4,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2027,Planning Studies Approved,10739,15,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2027,Under ERCOT Review,30539,41,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2027,No Studies Submitted,101702,138,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2028,Observed Energized,5778,10,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count carried from 2025 observed energized
2028,Approved to Energize but Not Operational,2941,4,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2028,Planning Studies Approved,15923,21,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2028,Under ERCOT Review,51315,70,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2028,No Studies Submitted,177879,242,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2029,Observed Energized,5778,10,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count carried from 2025 observed energized
2029,Approved to Energize but Not Operational,3241,5,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2029,Planning Studies Approved,19040,26,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2029,Under ERCOT Review,61966,84,Corrected direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2029,No Studies Submitted,238188,324,Corrected direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2030,Observed Energized,5778,10,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count carried from 2025 observed energized
2030,Approved to Energize but Not Operational,3241,5,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2030,Planning Studies Approved,21343,29,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2030,Under ERCOT Review,86605,118,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
2030,No Studies Submitted,293651,400,Direct MW from ERCOT April 2026 House/Senate hearing deck slide 3 table; count estimated from ERCOT chart labels and average MW/request
