project_id,project_name,sector,requested_mw,status_simple,status_official,in_service_year,submission_year,owner_raw,owner_tentative,owner_display,city,county,latitude,longitude,source_url,source_doc,notes
P001,Stargate Abilene Campus,AI / Data Center,1200,operational,Observed Energized,2025,2024,OpenAI / Oracle / SoftBank / Crusoe Energy,false,OpenAI / Oracle (Stargate),Abilene,Taylor,32.4487,-99.7331,https://arrington.house.gov/uploadedfiles/final_oracle_oai_data_center_fact_sheet_092225b.pdf,Oracle Fact Sheet Sep 2025,First buildings operational 2025; 8-building campus on 1100 acres; connects directly to ERCOT grid; backup gas turbines from GE Vernova
P002,Stargate Shackelford County Site,AI / Data Center,1400,under review-advancing,Approved to Energize but Not Operational,2026,2024,OpenAI / Oracle / SoftBank,true,OpenAI / Oracle* (Stargate),Albany,Shackelford,32.7266,-99.2978,https://arrington.house.gov/uploadedfiles/final_oracle_oai_data_center_fact_sheet_092225b.pdf,Oracle Fact Sheet Sep 2025,Off-grid natural gas microgrid; ~210 industrial generators; ~40 min from Abilene; announced Sep 2025
P003,Stargate Milam County Site,AI / Data Center,600,under review-advancing,Under ERCOT Review,2027,2025,OpenAI / Oracle / SoftBank,true,OpenAI / Oracle* (Stargate),Cameron,Milam,30.8543,-96.9769,https://davefriedman.substack.com/p/inside-texass-ai-data-center-queue,Substack Jan 2026,Third Stargate TX site; planning stages as of late 2025; 600 MW expansion near Abilene footprint
P004,Google Midlothian Campus (Buildings 1-4),AI / Data Center,400,operational,Observed Energized,2024,2022,Google LLC,false,Google,Midlothian,Ellis,32.4723,-96.9975,https://therealdeal.com/texas/2025/12/10/google-to-build-880-million-data-center-outside-dallas/,The Real Deal Dec 2025,Operating campus; established 2019 via Alamo Mission shell; 375 + 165 acres in Ellis County; major DFW hub
P005,Google Midlothian Building 5 (Sharka DC),AI / Data Center,200,under review-advancing,Planning Studies Approved,2027,2025,Google LLC,false,Google,Midlothian,Ellis,32.4650,-96.9900,https://therealdeal.com/texas/2025/12/10/google-to-build-880-million-data-center-outside-dallas/,The Real Deal Dec 2025,"$880M expansion; construction start Jan 2026, completion Feb 2027; filed with Texas Dept of Licensing and Regulation"
P006,Google Haskell County DC 1,AI / Data Center,500,under review-advancing,Under ERCOT Review,2027,2025,Google LLC,false,Google,Haskell,Haskell,33.1584,-99.7331,https://pexapark.com/blog/googles-40-billion-data-center-plan-in-texas-firms-up-outlook-for-markets-explosive-load-growth/,Pexapark Nov 2025,Part of $40B Google Texas commitment through 2027; West load zone; paired with solar+BESS
P007,Google Haskell County DC 2,AI / Data Center,500,under review-advancing,Under ERCOT Review,2027,2025,Google LLC,false,Google,Haskell,Haskell,33.1900,-99.7100,https://pexapark.com/blog/googles-40-billion-data-center-plan-in-texas-firms-up-outlook-for-markets-explosive-load-growth/,Pexapark Nov 2025,Second Haskell County facility; West load zone; Google $40B Texas plan
P008,Google Armstrong County DC,AI / Data Center,400,under review-advancing,Under ERCOT Review,2027,2025,Google LLC,false,Google,Claude,Armstrong,34.9697,-101.3566,https://pexapark.com/blog/googles-40-billion-data-center-plan-in-texas-firms-up-outlook-for-markets-explosive-load-growth/,Pexapark Nov 2025,Panhandle region; part of Google $40B Texas commitment; renewable-rich West zone
P009,Microsoft San Antonio Expansion,AI / Data Center,200,under review-advancing,Planning Studies Approved,2026,2024,Microsoft Corporation,false,Microsoft,San Antonio,Bexar,29.4241,-98.4936,https://www.youtube.com/watch?v=cA2hjE43FTw,YouTube Mar 2026,"~200,000 sq ft San Antonio filing; part of broader hyperscaler Central Texas corridor expansion"
P010,Meta El Paso Data Center,AI / Data Center,300,under review-advancing,Under ERCOT Review,2028,2025,Meta Platforms Inc,false,Meta,El Paso,El Paso,31.7619,-106.4850,https://www.instagram.com/p/DUQl9-ADQWZ/,Instagram Feb 2026,NOTE: El Paso Electric territory; El Paso Electric proposing new gas plant to supply; location outside ERCOT proper — flagged as boundary case; included because El Paso Electric participates in ERCOT interconnection for portions of service territory
